,Dept,Age,Experience,Salary,Education
0,HR,32.0,9.5,13.5,Under_Graduate
1,HR,33.0,12.0,13.5,Master
2,IT,35.0,12.0,13.5,Master
3,IT,37.333333333333336,12.0,13.5,Graduate
4,HR,34.0,11.0,13.5,Graduate
5,IT,33.0,13.0,13.5,Master
6,Marketing,56.0,12.0,13.5,Master
7,HR,37.333333333333336,10.0,13.5,Master
8,Marketing,31.0,12.0,13.5,Under_Graduate
9,IT,45.0,13.5,13.5,Master
10,Sales,50.0,12.0,13.5,Master
11,HR,64.5,13.5,13.5,Graduate
12,HR,29.0,9.5,13.5,Master
13,HR,32.0,11.0,13.5,Under_Graduate
14,Sales,38.0,12.0,13.5,Master
15,HR,37.333333333333336,12.0,13.5,Under_Graduate
16,IT,42.0,13.5,13.5,Graduate
17,Marketing,50.0,13.0,13.5,Master
18,HR,38.0,11.0,13.5,Graduate
19,HR,37.333333333333336,9.5,13.5,Under_Graduate
20,IT,52.0,13.5,13.5,Master
21,Sales,27.0,9.5,13.5,Under_Graduate
22,HR,42.0,12.0,13.5,Graduate
23,HR,37.333333333333336,9.5,13.5,Under_Graduate
24,IT,51.0,12.0,13.5,Master
25,Sales,28.0,9.5,13.5,Master
26,Sales,29.0,12.0,13.5,Under_Graduate
27,HR,42.0,12.0,13.5,Graduate
28,Sales,64.5,13.5,13.5,Master
29,HR,32.0,12.0,13.5,Under_Graduate
30,IT,19.0,9.5,13.5,Graduate
31,Marketing,64.5,13.5,13.5,Master
32,HR,37.333333333333336,11.0,13.5,Master
